"site","rsq_test","rmse","mae","cor_test"
"01-AIN",-2430818.58942242,101.705822839085,89.5893676300303,0.89078671816235
"02-GAN",-2633699.11241479,99.9772417899463,88.1816055451496,0.88820868363546
"03-DUK",-3322868.07237804,99.2339876072722,87.0429725060158,0.833019248705864
"07-OSG",-1549713.90567913,78.4445090291248,66.7445977171643,0.826350002328753
"08-MY",-2165245.62733623,89.7573614375844,77.9329350133837,0.807314903385608
"09-ORB",-2390614.16628215,87.2183363680721,75.787701256441,0.858407207880425
"10-PAG",-992395.10212882,74.6922688497683,63.0360437364245,0.93034042414709
"12-OLO",-1313794.08547983,74.191387907835,62.6058164530552,0.894813247586136
"14-OKS",-1259524.77050384,66.3385268842793,56.1962959949147,0.928833894519855
"15-NGO",-1959060.57477981,69.7833438947878,60.6132925710256,0.83627598577088
"17-LAG",-1038005.34380563,61.325450453997,52.1581747713849,0.913874548803437
"18-BOL",-867849.053325208,58.0393429885599,48.6003855150042,0.86674301558747
"19-KTC",-687621.00923033,58.8504813572278,49.2339457278812,0.919633394304436
"20-TUM",-774562.058577147,57.0088130056092,47.6426249968381,0.877932149719001
"21-KT",-818234.852085078,54.3852855746074,45.262503025704,0.872579258530771
"22-OMI",-667147.496870033,54.6306333110318,46.1585462469781,0.901053726612965
"24-KIL",-680941.642039343,54.8751375600708,47.5393891787326,0.826604727138095
"25-CHU",-693584.610795666,55.8008259168943,47.8255139086757,0.824574356209958
"26-OG",-752570.918651265,55.8064669589119,46.9656737570211,0.779389918053026
"27-OCA",-682012.871694468,54.7310438133664,46.7573841263936,0.777924514193553
"28-AKA",-612549.41943353,55.1014437505382,46.6931316234252,0.836239472446776
"30-OLE",-796280.448096719,55.2329112727143,46.5497047072275,0.824530957928361
"31-ACA",-1244179.49643715,55.8196508268438,48.6237068158969,0.716062959729939
"32-APU",-725089.997962282,58.7992815764991,50.4500050048153,0.818527304742809
"33-AP",-942301.105468558,60.6860938780726,53.5115082721573,0.800752326899486
"36-UGT",-769074.463811867,67.7882967409394,57.5744695285924,0.832713555591726
"37-OT",-1022008.28992174,68.5666447180646,58.4411082991441,0.831050131834773
"38-OCU",-782078.060120311,68.1839081564814,57.9529402834757,0.75358325024527
"40-KAG",-907565.517226107,68.8357548317303,58.5317642863802,0.795295362380528
"43-OS",-1722170.00178796,85.8606510024483,75.4130399577599,0.800227132214635
"44-MK",-1315096.96752653,105.761440799357,93.9970754566718,0.875608414660556
"45-BKD",-2239285.03901945,111.371350082323,99.845914795341,0.908505200158175
"46-PT",-1780021.27904037,108.207941278131,96.7944765615664,0.828577768283824
"47-BK",-2138123.91018033,113.383352314854,102.323908135118,0.832304870539296
"51-MF",-3834785.76415421,152.229840821876,144.171984671314,0.768906086725384
"52-KR",-2720443.2905705,127.797908585331,121.382564591109,0.83707515617454
"54-MS",-3527566.38899095,130.743741397694,123.161170886252,0.840648203966736
"55-KAF",-2450458.3232711,107.015576189861,100.046402052562,0.810694199769691
"56-MA",-985907.329789243,102.195928982125,93.7635450287221,0.859379097039501
"57-KG",-1092051.86483735,109.357136655949,101.028270905165,0.870414304595774
"58-SS",-1492939.74362737,122.616835295854,114.770846962812,0.886971212535729
"59-EB",-942545.555053048,75.3814594856302,65.6435746767466,0.918755745532079
"60-NA",-686915.830051088,75.346330291329,65.4741782942635,0.859901712598724
"61-KO",-542858.669009213,78.6063353277632,67.9551577957925,0.900799322604098
"62-NS",-701088.475379581,79.8009494087857,68.0692926040405,0.922566663207317
"63-DB",-517388.789246136,75.0025009805382,64.1251254665031,0.894493613926515
"64-KL",-608490.767091229,70.4128656580414,59.7574616634313,0.911297413693444
"65-BZ",-594364.380568853,68.9460187332064,57.3451701697561,0.77824525161558
"66-BY",-554433.361039636,71.2642377630091,60.3589602354834,0.790479345244327
"68-LI",-469497.978240283,65.1211552618611,53.4866785631462,0.802632076417552
"69-BV",-571403.334303459,65.0398220326336,54.0448501679979,0.84106755516423
"70-MGG",-460985.696952869,66.1653450105484,54.6934199129436,0.820877316124212
"71-BD",-589486.256341361,65.0854031199384,55.9707201287991,0.8358401005844
"72-JN",-2390447.87203526,87.1476756047013,81.6733599004412,0.665832274981813
"73-IGG",-632399.432265481,69.741100777784,60.5189141212525,0.834315198990489
"74-NAM",-890291.492203376,73.6530234073708,65.2396491642194,0.814030539470538
"76-TB",-1912175.19618239,76.1363379090014,64.9958573036718,0.621857881424116
"78-OK",-930409.633637192,76.6744972424095,65.0776484264078,0.728118410852594
"79-BU",-1064585.36973205,78.75264027026,65.8022429898577,0.669348947977401
"81-BUD",-1947705.34496479,85.3053417058027,71.7800965964458,0.857468937230142
"82-BON",-3189359.58646215,90.2733250854382,76.5485092844091,0.852560248018303
"83-ND",-2396409.6894883,109.368219681605,96.6535194710474,0.741308637810541
"84-MAN",-2814444.23186408,108.458990273771,94.5318270768235,0.909248336729273
"85-KSS",-4173450.20077554,123.807133474326,110.826612484852,0.900606399542441
"86-SUB",-3716021.80055785,123.681341411094,110.610782252079,0.882381871703678
